game_id, win_result, home_pts, home_ ts_pct, home.fta, home.ft_pct, home.fg3a, home.fg3_pct, home.ast, home.tov, home.oreb, home.dreb, home.stl, home.blk, home.defl, home.lb_rec, home.cont_2, home.cont_3, home.defg_pct, home.off_rtg, home.def_rtg, home.pf, away.pts, away.ts_pct, away.fta, away.ft_pct, away.fg3a, away.fg3_pct, away.ast, away.tov, away.oreb, away.dreb, away.stl, away.blk, away.defl, away.lb_rec, away.cont_2, away.cont_3, away.defg_pct, away.off_rtg, away.def_rtg, away.pf
22000001,1,134.19,0.616,26.43,0.816,35.82,0.406,26.01,13.32,8.46,34.17,6.81,5.37,13.57,5.69,33.7,19.78,0.536,115.74,112.38,16.31,127.89,0.589,24.0,0.774,40.96,0.38,22.22,14.43,9.34,35.52,7.24,5.34,14.51,6.47,34.13,21.26,0.519,108.83,108.12,21.56
22000002,0,124.66,0.572,28.18,0.743,29.71,0.351,29.82,16.67,8.77,34.54,8.44,5.15,14.59,6.34,27.14,18.93,0.519,109.3,105.71,16.67,122.14,0.597,22.51,0.851,34.86,0.397,28.05,13.74,9.81,36.25,7.27,5.08,13.65,6.34,33.99,19.24,0.521,117.05,108.71,18.12
22000010,1,105.88,0.537,21.48,0.745,30.5,0.335,25.34,15.25,9.45,29.42,8.59,3.11,15.45,6.37,27.04,18.13,0.573,103.78,111.86,18.04,116.01,0.571,22.36,0.775,38.11,0.383,28.87,14.8,10.92,34.86,8.08,4.93,15.3,6.18,29.93,22.62,0.545,109.69,110.49,17.85
22000011,1,117.32,0.567,21.03,0.775,36.08,0.36,30.62,14.43,7.63,33.92,8.56,5.98,17.22,6.42,33.29,19.57,0.526,109.83,110.37,18.56,107.82,0.562,21.72,0.787,29.29,0.397,20.53,12.15,10.67,36.57,6.9,5.5,14.18,5.35,30.34,21.67,0.514,109.22,107.04,20.79
22000012,1,121.06,0.522,23.04,0.783,34.83,0.348,29.42,15.29,7.65,33.88,7.12,3.93,12.72,6.19,23.46,19.26,0.555,106.23,112.24,17.42,116.83,0.591,23.82,0.833,35.67,0.367,30.56,14.72,7.46,34.75,8.28,3.68,15.14,6.06,24.36,22.28,0.542,109.95,109.61,16.46
22000013,1,123.01,0.59,28.44,0.792,31.34,0.384,25.87,14.28,7.92,33.35,9.7,5.91,17.32,5.83,26.84,18.1,0.518,113.31,105.85,17.84,124.83,0.577,26.3,0.768,30.89,0.366,30.05,14.65,9.47,35.64,7.05,3.55,13.28,5.64,37.12,19.39,0.539,111.0,111.51,20.47
22000003,1,117.13,0.582,22.78,0.756,33.13,0.371,24.11,14.06,12.99,36.21,7.85,6.26,15.27,6.21,34.17,21.79,0.536,112.3,111.18,21.31,129.93,0.601,23.3,0.752,37.95,0.392,26.74,13.76,10.32,40.39,8.21,4.77,15.22,6.86,38.37,26.55,0.54,116.19,109.02,16.53
22000014,0,121.84,0.574,25.08,0.829,42.21,0.367,28.85,13.56,7.95,30.38,9.07,5.2,17.67,6.51,25.2,23.66,0.535,112.32,110.74,19.78,121.02,0.578,26.39,0.732,35.4,0.358,27.57,14.59,10.19,34.65,7.4,3.97,13.31,6.32,27.79,24.2,0.559,112.98,113.14,16.09
22000015,0,118.52,0.585,22.62,0.8,34.0,0.389,20.78,14.7,9.77,39.39,6.14,5.05,10.92,5.49,38.6,20.11,0.541,108.1,111.66,19.17,121.69,0.584,26.09,0.87,41.94,0.363,24.51,12.36,6.34,29.79,7.39,3.17,14.52,5.77,25.42,21.95,0.538,113.81,111.19,19.54
22000017,0,120.17,0.567,23.12,0.772,33.19,0.366,26.44,13.28,11.1,34.79,8.7,4.81,15.65,5.44,32.31,21.61,0.54,111.98,109.49,17.97,115.99,0.555,21.42,0.81,27.79,0.36,25.7,11.09,8.79,33.94,6.48,4.83,12.75,5.24,35.21,17.71,0.535,110.59,111.2,16.7
22000018,1,131.48,0.563,27.42,0.783,45.92,0.366,28.33,15.42,9.48,32.67,8.0,4.57,14.02,6.66,29.76,19.15,0.56,109.53,114.93,18.85,110.73,0.543,24.35,0.785,31.52,0.332,31.07,16.96,7.85,31.75,8.42,5.23,16.06,6.17,26.03,18.25,0.548,107.39,110.57,18.66
