game_id, win_result, home_pts, home_ ts_pct, home.fta, home.ft_pct, home.fg3a, home.fg3_pct, home.ast, home.tov, home.oreb, home.dreb, home.stl, home.blk, home.defl, home.lb_rec, home.cont_2, home.cont_3, home.defg_pct, home.off_rtg, home.def_rtg, home.pf, away.pts, away.ts_pct, away.fta, away.ft_pct, away.fg3a, away.fg3_pct, away.ast, away.tov, away.oreb, away.dreb, away.stl, away.blk, away.defl, away.lb_rec, away.cont_2, away.cont_3, away.defg_pct, away.off_rtg, away.def_rtg, away.pf
21900001,1,119.08,0.578,23.74,0.807,40.44,0.378,27.81,15.08,7.33,36.37,8.86,4.69,17.65,7.83,33.61,27.14,0.5,109.94,103.59,20.68,111.13,0.561,19.72,0.754,39.43,0.372,28.75,15.42,10.35,37.12,7.93,4.63,16.96,8.04,36.57,23.92,0.527,109.75,110.28,18.94
21900002,1,119.59,0.583,28.61,0.783,30.25,0.372,24.27,13.83,11.72,37.28,7.27,5.16,15.04,7.0,37.68,24.61,0.5,112.8,106.08,22.04,118.99,0.588,26.09,0.731,29.66,0.359,24.07,14.79,12.26,36.92,8.66,7.6,16.61,7.78,35.58,21.84,0.506,111.34,105.36,21.05
21900003,1,101.9,0.542,19.21,0.776,38.09,0.354,25.5,13.8,9.71,30.47,6.73,3.86,13.52,7.53,32.13,25.77,0.55,105.36,112.21,17.55,112.59,0.545,21.85,0.777,36.88,0.349,23.79,15.25,10.38,32.88,10.38,3.35,17.28,8.24,31.17,22.5,0.549,105.56,107.66,20.77
21900004,0,114.41,0.572,20.54,0.808,30.12,0.378,24.16,12.13,8.41,34.59,7.13,5.0,14.89,6.23,36.21,23.64,0.514,108.67,106.88,19.26,113.7,0.57,22.13,0.757,30.67,0.379,27.6,14.68,10.08,32.97,6.9,4.6,14.37,7.27,37.51,22.6,0.531,108.34,110.67,17.85
21900005,1,112.57,0.539,22.94,0.778,34.62,0.34,25.49,12.42,9.03,34.94,8.92,5.1,15.9,7.43,30.9,20.25,0.539,106.49,107.52,16.35,114.34,0.559,19.93,0.784,34.62,0.37,21.92,15.84,10.49,33.25,6.5,2.62,11.97,7.26,31.69,22.51,0.563,106.27,114.14,16.68
21900006,0,128.4,0.564,27.87,0.757,38.83,0.358,28.71,15.45,10.96,37.37,6.68,4.49,12.31,7.75,38.65,21.93,0.514,109.45,109.26,18.9,119.51,0.56,28.23,0.763,39.98,0.343,25.59,16.48,9.89,31.74,8.68,5.93,17.37,7.72,34.82,23.1,0.538,108.27,110.92,20.43
21900007,1,107.56,0.568,20.27,0.757,34.96,0.368,24.99,13.94,7.29,34.53,6.01,3.86,11.91,6.18,32.41,26.83,0.511,110.37,106.98,20.05,119.59,0.568,24.08,0.762,31.45,0.353,25.6,15.08,11.34,38.81,7.83,6.43,15.7,7.54,45.39,26.29,0.519,107.8,108.48,22.8
21900008,1,117.4,0.57,26.08,0.759,30.19,0.369,28.13,15.04,10.17,35.92,8.55,5.63,15.94,8.48,35.69,17.97,0.515,109.53,106.67,21.1,126.5,0.575,25.58,0.808,37.62,0.377,25.68,13.85,10.44,36.13,8.21,5.22,16.69,7.9,33.06,25.14,0.521,113.17,105.3,19.29
21900009,1,124.42,0.581,26.65,0.79,45.47,0.372,26.65,13.33,9.86,36.73,6.05,4.93,12.29,7.0,37.22,22.9,0.52,114.79,109.62,18.81,126.27,0.576,26.96,0.806,34.5,0.374,24.62,13.7,9.86,33.32,7.0,4.46,12.66,7.6,39.76,22.6,0.557,110.02,114.18,21.82
21900010,1,119.59,0.574,24.1,0.846,30.71,0.37,25.38,12.28,7.53,35.0,7.18,4.75,13.7,7.64,34.88,23.19,0.546,110.28,112.12,18.43,108.31,0.52,24.59,0.714,27.5,0.335,24.84,15.39,11.27,35.98,7.75,3.63,12.88,8.09,30.4,24.59,0.54,105.82,111.33,21.44
21900011,1,113.6,0.586,25.07,0.783,35.52,0.381,24.64,15.25,7.57,34.77,6.08,3.95,11.59,6.42,34.39,22.3,0.515,110.8,107.5,18.88,113.94,0.573,26.38,0.796,29.75,0.362,23.12,13.36,7.97,34.57,7.41,3.93,13.73,7.59,34.36,22.05,0.522,109.95,106.84,17.06
