21200001,1,25.4,97.51,0.439,22.72,0.77,0.25,70.88,0.418,20.12,0.343,22.54,13.88,1.624,13.6,30.83,8.38,3.91,20.86,26.3,87.39,0.485,17.79,0.707,0.231,52.98,0.459,24.02,0.362,19.11,13.19,1.45,11.86,31.89,7.46,3.99,20.14
21200002,1,30.9,105.12,0.528,22.8,0.762,0.275,59.72,0.502,23.28,0.398,23.94,13.26,1.806,7.25,29.86,8.87,4.77,17.55,29.6,97.7,0.502,21.1,0.777,0.261,64.8,0.492,16.1,0.36,27.3,14.4,1.896,7.9,32.2,8.0,4.1,19.8
21200003,0,31.7,106.06,0.48,29.27,0.699,0.329,65.57,0.458,23.53,0.362,23.62,15.1,1.564,12.41,33.72,6.85,5.37,17.14,28.8,96.02,0.604,19.47,0.787,0.292,46.78,0.632,19.82,0.359,23.26,12.58,1.849,9.14,30.15,8.19,5.34,19.94
21200004,0,26.2,93.49,0.419,20.95,0.777,0.228,72.59,0.388,19.51,0.357,22.14,12.73,1.74,10.6,28.67,6.79,4.92,21.46,26.3,94.6,0.474,23.58,0.749,0.289,61.97,0.457,19.53,0.354,20.22,14.5,1.395,12.53,32.26,7.2,6.02,19.43
21200005,1,26.3,95.68,0.448,17.15,0.732,0.184,72.85,0.426,20.15,0.353,22.77,12.46,1.827,9.65,29.71,7.78,4.5,17.9,25.8,105.88,0.532,24.55,0.671,0.292,66.2,0.533,17.8,0.351,25.06,14.63,1.713,13.09,31.0,9.51,6.14,20.97
21200006,0,25.8,92.95,0.471,23.14,0.696,0.283,67.74,0.463,14.06,0.34,20.31,14.74,1.377,12.79,29.88,7.23,4.98,18.94,25.0,106.23,0.551,26.48,0.758,0.34,47.26,0.549,30.64,0.369,23.49,15.8,1.486,9.72,32.56,8.65,3.74,19.43
21200007,1,29.6,92.58,0.421,21.1,0.776,0.233,76.43,0.397,14.07,0.367,23.15,13.8,1.677,12.73,30.09,7.12,5.25,19.58,25.6,102.84,0.494,24.05,0.753,0.281,65.37,0.477,20.13,0.365,20.53,15.09,1.36,11.87,29.48,8.65,4.33,21.43
21200008,0,24.7,92.97,0.505,17.92,0.784,0.228,60.98,0.488,17.62,0.376,21.28,13.14,1.62,12.63,30.75,6.11,6.11,20.47,29.5,103.67,0.543,20.2,0.803,0.251,58.87,0.536,21.53,0.374,23.16,12.86,1.802,7.76,32.55,7.86,6.12,15.82
21200009,1,25.9,98.9,0.429,23.02,0.758,0.243,77.53,0.402,17.27,0.369,22.24,14.13,1.574,11.95,29.04,8.2,6.1,20.84,27.8,94.88,0.532,20.52,0.768,0.276,56.0,0.529,18.4,0.362,24.01,13.33,1.802,10.05,29.93,8.25,5.71,20.73
21200010,0,28.0,96.67,0.47,20.69,0.758,0.24,70.02,0.465,16.18,0.327,22.35,14.61,1.53,11.96,30.78,7.84,5.69,20.59,26.4,100.25,0.482,20.7,0.802,0.238,67.63,0.446,19.27,0.406,22.8,14.4,1.583,11.35,35.1,6.58,4.48,20.7
