21500001,0,28.2,100.8,0.506,19.64,0.792,0.232,57.97,0.493,26.73,0.356,25.37,14.78,1.717,8.65,33.92,9.04,5.93,19.83,26.4,102.78,0.541,26.25,0.662,0.332,54.96,0.552,24.14,0.344,19.71,14.07,1.402,13.51,33.67,7.31,3.65,19.38
21500002,1,28.1,101.62,0.46,21.78,0.788,0.236,71.94,0.431,20.46,0.373,24.89,14.14,1.76,11.5,36.01,6.13,6.03,18.48,29.9,101.38,0.545,22.34,0.727,0.286,50.07,0.537,28.03,0.373,21.93,12.62,1.738,10.76,34.66,6.41,3.72,20.59
21500003,1,28.1,112.44,0.509,21.91,0.74,0.233,64.22,0.458,29.88,0.412,27.7,14.39,1.925,10.59,36.03,8.24,6.16,20.46,27.8,103.71,0.584,22.69,0.772,0.308,51.38,0.607,22.22,0.354,18.23,12.46,1.462,9.88,33.28,7.06,5.29,19.4
21500004,0,24.6,102.48,0.483,20.36,0.768,0.227,71.17,0.472,18.53,0.349,23.84,13.22,1.803,10.42,32.52,8.11,5.31,20.36,29.1,113.08,0.57,25.2,0.737,0.304,60.07,0.592,22.73,0.342,25.88,14.74,1.756,10.13,34.21,8.44,4.61,19.58
21500005,1,25.8,104.21,0.456,23.92,0.791,0.256,69.86,0.445,23.64,0.324,23.92,13.62,1.757,12.77,33.85,8.98,4.82,22.03,22.6,96.56,0.603,23.93,0.675,0.357,46.47,0.646,20.53,0.337,16.76,14.21,1.179,12.15,31.82,7.65,8.02,21.98
21500006,0,27.0,97.29,0.464,19.8,0.749,0.223,71.82,0.448,16.98,0.354,21.58,14.07,1.533,10.79,32.09,7.79,3.94,17.92,28.7,99.11,0.436,20.93,0.791,0.22,74.63,0.402,20.57,0.374,25.05,14.04,1.783,11.09,35.33,6.08,5.72,18.78
21500007,1,26.7,98.57,0.48,24.11,0.665,0.279,60.05,0.46,26.25,0.352,18.66,12.93,1.444,12.73,33.54,7.1,3.5,18.96,24.4,102.11,0.497,26.13,0.738,0.314,58.88,0.48,24.32,0.36,18.79,14.07,1.336,9.65,32.06,7.34,4.82,19.5
21500008,1,29.9,103.79,0.47,27.01,0.758,0.304,69.75,0.469,19.15,0.317,22.27,13.55,1.643,9.67,35.83,7.39,6.26,18.96,26.8,102.83,0.492,23.82,0.8,0.279,57.41,0.472,27.99,0.355,22.53,12.01,1.876,8.93,35.53,6.85,5.56,18.16
21500009,1,27.3,102.81,0.458,26.2,0.771,0.29,66.28,0.419,24.02,0.379,17.92,11.83,1.515,10.37,32.84,7.92,5.28,19.2,28.1,102.12,0.501,23.03,0.776,0.274,59.45,0.493,24.75,0.347,22.22,14.85,1.497,10.0,32.22,9.09,4.04,19.29
21500010,0,27.1,101.63,0.564,26.37,0.732,0.363,40.92,0.593,31.78,0.351,23.83,14.46,1.649,9.27,26.81,10.26,4.63,21.08,26.6,99.99,0.429,23.05,0.789,0.242,70.67,0.406,24.73,0.329,23.32,13.6,1.714,10.95,32.15,7.07,4.15,20.05
21500011,0,30.4,97.6,0.441,23.17,0.761,0.255,75.07,0.43,15.63,0.331,21.17,12.54,1.688,10.45,30.53,8.09,5.09,19.9,29.5,100.0,0.528,22.11,0.723,0.278,51.56,0.515,28.04,0.369,21.81,12.76,1.709,10.95,34.87,6.43,3.82,20.6
21500012,0,25.2,91.81,0.542,20.08,0.758,0.283,51.69,0.553,19.31,0.343,24.39,14.79,1.649,10.15,29.9,7.83,5.74,20.86,27.0,97.83,0.49,21.86,0.809,0.267,59.83,0.479,22.07,0.346,20.85,12.81,1.627,10.78,34.78,6.2,5.9,19.83
21500013,1,26.7,113.48,0.524,27.08,0.781,0.308,64.08,0.517,23.72,0.362,24.32,16.01,1.519,12.75,35.68,7.22,6.13,19.47,31.4,105.33,0.538,19.94,0.81,0.24,64.49,0.528,18.51,0.381,26.08,12.88,2.024,9.31,35.07,8.59,6.24,16.87
21500014,0,26.5,105.25,0.372,23.88,0.755,0.205,90.39,0.331,26.31,0.344,21.9,17.19,1.274,10.57,32.32,8.14,3.73,22.36,29.8,97.35,0.452,22.23,0.802,0.252,60.19,0.427,27.91,0.338,21.41,11.89,1.8,8.69,32.48,6.68,3.84,18.94
21500015,1,24.2,106.34,0.545,23.09,0.752,0.284,51.75,0.534,29.55,0.376,21.92,14.19,1.545,11.97,34.32,6.67,4.66,22.35,27.6,108.48,0.511,23.35,0.783,0.265,64.34,0.506,23.66,0.349,22.21,13.64,1.629,9.09,31.92,7.65,4.96,19.42
21500016,0,27.7,106.71,0.444,25.88,0.72,0.261,76.58,0.421,22.52,0.349,24.64,15.81,1.559,10.25,33.92,9.01,4.33,20.23,29.5,114.1,0.472,28.57,0.711,0.287,73.19,0.447,26.21,0.36,24.67,13.79,1.789,8.89,36.01,8.34,5.9,21.5
21500017,0,28.0,103.07,0.458,26.58,0.802,0.3,60.71,0.456,27.89,0.308,19.91,13.84,1.438,9.5,30.92,7.07,3.94,18.8,27.3,99.7,0.453,26.07,0.804,0.299,69.81,0.438,17.29,0.344,22.04,13.81,1.596,9.6,32.29,7.77,4.66,21.04
21500018,0,27.7,102.88,0.48,23.14,0.773,0.26,66.33,0.461,22.57,0.356,20.18,14.34,1.407,10.42,33.66,8.61,5.16,20.08,30.9,97.87,0.451,22.73,0.768,0.255,73.58,0.441,15.62,0.331,20.89,12.29,1.699,10.54,30.59,7.95,5.08,19.96
21500019,0,27.0,97.83,0.49,21.86,0.809,0.267,59.83,0.479,22.07,0.346,20.85,12.81,1.627,10.78,34.78,6.2,5.9,19.83,27.7,102.81,0.526,19.99,0.791,0.24,55.56,0.521,27.74,0.357,26.01,15.3,1.7,8.57,33.25,8.87,6.12,19.99
21500020,1,30.2,106.72,0.421,26.31,0.707,0.251,79.52,0.384,25.18,0.358,24.2,13.4,1.806,9.1,34.52,8.69,5.52,21.44,29.7,97.71,0.609,23.51,0.786,0.36,41.42,0.677,23.88,0.328,19.22,11.88,1.619,10.9,36.98,6.61,4.65,19.59
21500021,1,29.5,100.0,0.528,22.11,0.723,0.278,51.56,0.515,28.04,0.369,21.81,12.76,1.709,10.95,34.87,6.43,3.82,20.6,28.8,103.75,0.408,26.18,0.758,0.253,83.81,0.383,19.69,0.341,21.45,13.85,1.549,10.41,33.86,7.53,6.32,19.37
21500022,0,24.0,100.98,0.488,20.65,0.767,0.238,66.25,0.479,20.55,0.344,25.27,13.47,1.876,10.13,31.76,8.26,4.52,19.37,26.0,113.59,0.518,26.81,0.781,0.3,64.45,0.51,24.85,0.358,23.58,15.56,1.516,12.13,34.93,7.24,5.87,19.27
21500023,0,22.5,94.96,0.534,22.99,0.681,0.309,51.41,0.548,23.09,0.336,16.94,14.03,1.208,11.12,30.65,7.45,7.45,21.26,24.9,96.86,0.424,24.22,0.74,0.26,70.34,0.39,22.66,0.354,17.75,14.05,1.264,10.86,32.57,7.41,5.0,21.11
21500024,0,26.5,107.1,0.451,24.05,0.795,0.247,72.53,0.434,24.97,0.333,23.6,13.63,1.732,12.35,34.21,9.24,4.48,22.68,26.9,102.46,0.449,26.22,0.775,0.286,67.45,0.407,24.25,0.376,17.63,11.81,1.492,10.47,33.11,8.05,5.19,19.24
21500025,1,26.7,98.57,0.48,24.11,0.665,0.279,60.05,0.46,26.25,0.352,18.66,12.93,1.444,12.73,33.54,7.1,3.5,18.96,28.1,101.62,0.46,21.78,0.788,0.236,71.94,0.431,20.46,0.373,24.89,14.14,1.76,11.5,36.01,6.13,6.03,18.48
21500026,1,27.9,105.48,0.595,21.74,0.793,0.292,49.29,0.631,25.21,0.349,27.07,15.61,1.733,9.37,35.28,9.6,6.01,19.89,26.2,103.57,0.473,23.31,0.795,0.259,61.14,0.45,28.76,0.349,21.78,11.85,1.839,9.17,36.59,6.97,5.83,18.34
21500027,0,25.4,97.43,0.537,22.73,0.767,0.304,56.61,0.543,18.19,0.345,26.96,15.7,1.717,9.63,32.26,8.23,4.87,20.35,28.5,104.47,0.445,22.75,0.731,0.231,74.25,0.421,24.15,0.348,23.71,13.47,1.76,9.27,32.55,8.4,4.02,20.74
21500028,1,31.0,103.66,0.475,20.19,0.803,0.219,73.81,0.453,18.29,0.376,25.26,12.58,2.007,9.78,35.04,8.33,6.52,16.66,27.0,95.79,0.393,20.38,0.775,0.2,84.01,0.366,17.89,0.347,25.22,14.9,1.692,9.67,31.82,7.73,3.63,17.89
21500029,0,26.6,99.99,0.429,23.05,0.789,0.242,70.67,0.406,24.73,0.329,23.32,13.6,1.714,10.95,32.15,7.07,4.15,20.05,27.3,102.2,0.488,27.27,0.806,0.331,65.92,0.481,16.48,0.345,22.75,13.73,1.657,9.71,32.37,7.94,4.81,20.11
21500030,0,26.3,103.3,0.539,31.12,0.678,0.41,49.84,0.548,26.16,0.348,22.34,15.2,1.469,11.99,32.88,9.93,5.89,21.61,27.7,114.44,0.507,22.89,0.749,0.24,63.95,0.453,31.55,0.41,27.26,14.32,1.904,9.94,34.19,8.39,5.29,20.06
21500031,1,26.5,105.92,0.43,25.7,0.719,0.253,78.69,0.397,22.81,0.364,24.51,16.03,1.529,10.09,33.58,8.65,4.58,19.67,27.2,95.54,0.382,25.13,0.781,0.255,73.21,0.355,25.39,0.307,18.11,12.95,1.399,10.24,31.48,6.85,4.23,19.89
21500032,1,26.5,105.25,0.372,23.88,0.755,0.205,90.39,0.331,26.31,0.344,21.9,17.19,1.274,10.57,32.32,8.14,3.73,22.36,24.1,103.99,0.487,22.86,0.751,0.257,59.67,0.458,29.13,0.364,23.44,14.76,1.588,11.67,33.67,6.75,4.24,21.99
21500033,0,26.9,99.98,0.457,22.23,0.776,0.245,66.34,0.437,24.26,0.342,21.12,14.57,1.449,9.5,32.74,8.85,4.8,20.11,24.9,96.73,0.417,24.54,0.735,0.261,72.09,0.381,22.01,0.356,17.54,13.58,1.292,11.13,33.14,7.51,5.57,20.58
21500034,0,29.0,107.5,0.496,23.35,0.733,0.256,68.63,0.486,22.47,0.351,24.81,14.2,1.747,10.12,33.66,8.46,4.28,20.92,27.2,99.81,0.514,22.52,0.808,0.283,57.51,0.509,21.99,0.351,21.25,12.79,1.661,11.0,34.78,6.34,5.92,19.67
21500035,0,27.8,103.81,0.413,22.39,0.773,0.215,80.57,0.376,23.73,0.358,21.31,12.99,1.641,9.57,33.05,7.49,4.41,20.48,27.6,116.02,0.528,22.75,0.75,0.244,60.69,0.481,32.51,0.411,27.77,14.6,1.903,9.67,33.46,8.44,5.12,19.24
21500036,1,30.9,97.87,0.451,22.73,0.768,0.255,73.58,0.441,15.62,0.331,20.89,12.29,1.699,10.54,30.59,7.95,5.08,19.96,27.4,98.69,0.44,20.64,0.769,0.219,76.55,0.422,17.75,0.345,23.43,14.96,1.566,10.36,32.08,8.02,3.88,18.3
