21000001,1,31.2,98.11,0.515,23.57,0.753,0.303,64.88,0.508,12.92,0.366,24.85,14.1,1.762,7.79,31.55,8.28,5.03,20.41,30.1,107.96,0.549,29.84,0.779,0.386,62.43,0.547,14.87,0.373,19.16,13.09,1.464,10.79,34.45,6.39,5.03,19.9
21000002,1,27.7,94.13,0.459,21.72,0.798,0.261,66.81,0.448,16.39,0.337,20.67,12.1,1.709,12.29,26.96,7.53,4.48,19.44,29.4,98.92,0.501,21.41,0.758,0.258,59.04,0.463,23.86,0.395,25.56,13.2,1.936,8.68,27.63,6.79,3.39,19.05
21000003,1,30.8,99.07,0.517,23.05,0.775,0.294,59.4,0.514,18.9,0.352,21.81,12.57,1.736,11.32,29.7,7.68,4.36,19.21,28.0,108.2,0.51,27.1,0.829,0.323,62.77,0.501,21.23,0.359,22.36,13.4,1.669,10.72,32.46,6.39,5.15,19.99
21000004,1,28.4,93.17,0.51,24.86,0.744,0.338,56.07,0.508,17.53,0.345,18.7,12.11,1.544,11.26,32.83,6.16,4.46,19.12,30.6,97.46,0.495,23.35,0.756,0.29,66.93,0.486,13.57,0.357,24.48,13.86,1.767,7.59,31.03,8.26,4.93,20.31
21000005,1,25.6,92.77,0.433,22.92,0.76,0.263,72.42,0.415,14.58,0.346,19.89,13.93,1.428,10.63,30.62,5.04,4.95,22.09,29.0,96.42,0.483,22.28,0.771,0.272,64.81,0.462,17.09,0.374,23.18,12.69,1.827,8.99,24.98,7.09,4.0,18.58
21000006,0,26.3,97.38,0.487,22.52,0.757,0.273,69.84,0.484,12.76,0.336,23.82,12.76,1.867,10.66,32.09,7.28,4.49,20.73,31.4,104.29,0.503,29.28,0.777,0.361,66.8,0.494,14.4,0.365,18.58,12.84,1.447,10.7,34.34,6.13,5.06,19.94
21000007,0,26.6,100.72,0.449,23.88,0.77,0.259,76.95,0.443,15.15,0.319,21.37,14.03,1.523,10.69,28.99,6.69,2.97,20.35,25.4,103.13,0.489,25.21,0.795,0.297,60.55,0.465,24.35,0.366,21.37,12.84,1.664,9.3,30.19,7.19,5.56,20.03
21000008,0,24.8,101.06,0.482,24.14,0.752,0.278,75.12,0.475,11.58,0.347,18.84,12.85,1.466,11.28,27.67,9.81,4.51,20.31,27.4,98.63,0.423,20.69,0.797,0.212,77.66,0.399,19.74,0.343,22.23,13.39,1.66,8.93,28.5,6.18,3.86,17.51
21000009,0,24.5,100.86,0.46,24.31,0.762,0.271,71.65,0.433,17.95,0.376,19.75,16.24,1.216,13.96,31.25,7.22,5.32,22.89,25.4,95.31,0.545,23.3,0.727,0.324,55.51,0.552,16.39,0.347,18.95,14.05,1.349,11.93,27.76,7.02,4.01,22.29
21000010,1,27.1,97.54,0.437,22.77,0.77,0.249,72.56,0.406,18.84,0.37,21.29,12.65,1.683,9.86,29.75,7.68,4.27,20.76,27.8,97.98,0.431,23.04,0.771,0.247,73.22,0.408,19.98,0.343,20.26,13.14,1.542,9.99,31.27,7.77,5.46,19.89
