21600001,1,31.2,107.04,0.454,23.05,0.751,0.233,64.6,0.396,34.1,0.376,21.02,12.33,1.705,9.88,34.44,6.84,4.22,18.57,27.9,101.13,0.403,20.47,0.775,0.194,81.25,0.37,24.25,0.342,22.45,13.16,1.706,12.09,33.22,7.15,5.43,20.23
21600002,1,25.5,104.18,0.481,23.34,0.775,0.26,63.77,0.449,25.93,0.374,20.39,12.55,1.625,10.61,33.96,6.64,5.07,21.5,27.6,94.28,0.568,20.02,0.737,0.286,42.88,0.577,27.12,0.369,20.88,12.91,1.617,9.26,31.75,6.35,4.95,19.59
21600003,0,28.8,116.11,0.515,23.04,0.798,0.243,64.65,0.488,30.35,0.383,30.63,14.35,2.134,9.78,35.57,9.42,6.77,19.47,29.2,107.95,0.491,23.25,0.789,0.256,68.31,0.459,22.49,0.393,24.85,13.27,1.872,10.26,33.69,7.53,5.36,18.54
21600004,0,25.2,109.05,0.569,21.32,0.777,0.262,53.8,0.603,27.7,0.335,23.18,13.33,1.739,9.5,33.03,6.72,4.75,18.54,26.7,105.38,0.492,23.44,0.697,0.26,67.26,0.476,23.04,0.359,23.44,13.69,1.712,10.93,33.88,7.48,5.71,20.68
21600005,1,27.8,105.11,0.49,22.91,0.813,0.259,65.58,0.464,22.82,0.377,21.96,12.89,1.704,8.78,33.03,8.21,4.68,18.23,28.3,97.76,0.445,17.14,0.81,0.181,62.95,0.397,31.65,0.361,22.15,11.87,1.867,7.56,32.18,6.68,3.34,18.81
21600006,1,27.2,112.17,0.571,22.73,0.802,0.276,48.41,0.578,33.89,0.373,23.7,11.9,1.991,9.01,33.24,6.54,4.08,19.41,26.9,113.81,0.529,25.26,0.796,0.284,56.32,0.533,32.58,0.348,21.13,17.01,1.242,10.0,36.19,7.32,5.05,21.65
21600007,1,26.0,111.27,0.508,25.81,0.806,0.29,62.51,0.496,26.39,0.357,19.43,12.07,1.61,9.91,31.3,8.05,4.02,20.11,26.0,99.6,0.483,19.57,0.709,0.221,66.38,0.486,22.32,0.317,19.76,10.91,1.811,12.39,36.48,6.69,3.93,17.11
21600008,0,26.6,106.44,0.526,23.98,0.759,0.286,62.96,0.526,20.94,0.353,24.69,13.96,1.768,10.02,32.28,8.3,5.87,21.05,27.9,104.76,0.5,24.86,0.81,0.293,58.46,0.486,26.24,0.353,23.18,10.95,2.117,9.08,35.22,6.91,5.43,16.97
21600009,1,28.0,102.64,0.572,25.78,0.802,0.361,45.96,0.591,25.54,0.359,24.62,13.12,1.876,10.1,33.09,7.08,4.53,22.06,25.3,104.89,0.469,23.36,0.804,0.255,69.16,0.446,22.44,0.359,22.35,13.01,1.718,10.81,30.41,7.51,4.58,19.42
21600010,0,26.6,95.78,0.473,20.11,0.74,0.235,63.16,0.45,22.54,0.357,18.61,10.85,1.716,8.98,36.1,6.73,5.42,17.86,25.2,113.56,0.496,26.6,0.774,0.285,66.42,0.481,27.08,0.356,25.55,15.07,1.696,12.87,36.71,6.58,4.29,18.97
21600011,0,24.8,101.4,0.454,24.01,0.754,0.262,64.23,0.429,27.37,0.342,22.92,16.55,1.385,9.64,33.38,8.28,7.18,21.55,25.3,111.33,0.507,26.52,0.76,0.294,61.86,0.513,28.24,0.329,21.78,15.33,1.421,12.71,36.1,7.87,4.34,20.77
21600012,0,25.8,105.27,0.418,24.99,0.784,0.243,79.5,0.394,23.3,0.333,19.92,14.86,1.341,11.14,33.18,8.1,4.56,23.47,28.4,101.78,0.441,24.41,0.773,0.26,69.07,0.402,24.93,0.365,20.77,14.11,1.472,8.83,34.53,7.96,4.33,21.55
21600013,1,27.6,103.89,0.439,22.58,0.775,0.229,69.84,0.409,28.56,0.341,21.42,14.46,1.481,10.62,31.24,8.12,3.84,20.26,27.3,117.32,0.572,26.76,0.765,0.316,44.4,0.607,40.4,0.356,24.03,14.69,1.636,10.6,33.37,8.08,4.41,19.31
21600014,1,28.1,102.1,0.447,23.84,0.729,0.252,68.66,0.412,25.94,0.36,22.27,14.67,1.518,9.78,33.45,7.95,4.89,17.82,26.1,106.19,0.47,20.5,0.789,0.214,71.42,0.445,24.38,0.363,23.12,13.0,1.778,9.93,31.51,8.4,3.79,21.31
