21500001,0,104.47,0.622,20.6,0.79,26.51,0.365,26.63,15.25,8.53,34.48,9.67,6.03,18.78,102.78,0.567,26.25,0.662,24.14,0.344,19.71,14.07,13.51,33.67,7.31,3.65,19.38
21500002,1,104.93,0.578,23.87,0.783,18.26,0.373,25.08,14.3,12.76,37.62,6.38,6.6,17.71,104.91,0.654,22.28,0.735,28.29,0.371,23.22,12.97,11.08,35.13,6.37,3.77,19.69
21500003,1,114.79,0.663,22.27,0.741,31.36,0.417,30.36,14.74,10.19,36.9,8.53,6.32,19.5,103.71,0.62,22.69,0.772,22.22,0.354,18.23,12.46,9.88,33.28,7.06,5.29,19.4
21500004,0,102.73,0.577,20.52,0.767,20.63,0.347,25.74,13.36,9.67,31.17,8.25,4.13,18.57,115.57,0.636,25.88,0.74,22.22,0.356,26.71,15.01,9.57,33.68,8.51,4.37,19.03
21500005,1,107.68,0.588,24.08,0.796,25.53,0.319,25.64,13.71,11.7,33.22,9.81,4.12,21.18,96.33,0.649,23.48,0.676,20.69,0.337,17.26,14.72,11.68,31.35,7.62,7.87,22.21
21500006,0,97.78,0.598,19.02,0.769,17.78,0.361,23.07,14.06,9.68,31.5,7.99,3.71,16.54,104.93,0.578,23.87,0.783,18.26,0.373,25.08,14.3,12.76,37.62,6.38,6.6,17.71
21500007,1,100.1,0.558,24.43,0.647,27.91,0.348,19.52,13.41,11.99,32.71,7.31,3.16,18.32,106.77,0.594,27.81,0.735,23.45,0.362,18.43,14.18,10.16,32.16,6.92,5.14,18.43
21500008,1,107.9,0.561,28.03,0.76,19.45,0.324,21.93,13.97,9.72,35.17,7.55,6.52,18.31,104.78,0.598,24.63,0.795,28.66,0.352,22.05,11.87,8.96,35.49,7.05,5.71,17.57
21500009,1,105.4,0.582,28.13,0.781,24.52,0.377,18.68,11.89,10.4,32.69,8.07,5.1,18.36,104.47,0.6,23.99,0.776,24.77,0.357,21.75,14.8,10.2,32.73,9.08,4.26,19.62
21500010,0,102.6,0.641,26.1,0.744,33.49,0.352,24.91,14.54,8.82,26.93,10.49,4.41,20.38,104.92,0.572,25.82,0.777,24.2,0.341,24.2,14.1,11.28,32.44,7.49,4.23,19.2
21500011,0,100.19,0.552,23.48,0.787,16.89,0.333,20.72,12.01,10.62,31.02,8.39,4.46,19.76,104.91,0.654,22.28,0.735,28.29,0.371,23.22,12.97,11.08,35.13,6.37,3.77,19.69
21500012,0,96.28,0.658,21.32,0.751,19.31,0.353,25.99,15.14,10.22,29.65,8.08,6.18,20.32,101.49,0.625,23.72,0.808,21.81,0.346,21.09,12.58,10.54,33.79,6.11,5.63,18.69
