game_id, win_result, home_pts, home_ ts_pct, home.fta, home.ft_pct, home.fg3a, home.fg3_pct, home.ast, home.tov, home.oreb, home.dreb, home.stl, home.blk, home.defl, home.lb_rec, home.cont_2, home.cont_3, home.defg_pct, home.off_rtg, home.def_rtg, home.pf, away.pts, away.ts_pct, away.fta, away.ft_pct, away.fg3a, away.fg3_pct, away.ast, away.tov, away.oreb, away.dreb, away.stl, away.blk, away.defl, away.lb_rec, away.cont_2, away.cont_3, away.defg_pct, away.off_rtg, away.def_rtg, away.pf
21800018,1,113.97,0.561,22.63,0.751,39.41,0.364,25.96,14.82,8.04,29.3,6.55,4.14,12.32,7.15,42.06,21.87,0.513,108.19,108.99,20.68,110.36,0.523,25.58,0.787,30.65,0.335,19.77,14.34,10.63,34.36,6.55,2.84,10.55,8.51,35.54,24.25,0.551,103.88,112.17,20.64
21800019,1,124.48,0.592,24.98,0.808,33.1,0.374,26.58,13.88,10.46,37.9,7.9,5.77,14.88,8.99,43.91,25.36,0.509,113.76,105.92,20.18,117.74,0.566,19.8,0.81,36.7,0.37,28.41,12.91,8.07,34.55,9.26,4.52,14.64,8.59,30.41,25.87,0.516,110.5,106.42,17.87
21800020,1,101.27,0.551,22.15,0.773,28.66,0.355,25.12,13.24,7.42,33.23,9.02,5.59,14.66,8.8,35.35,23.1,0.513,103.85,106.05,22.72,113.3,0.544,23.44,0.759,40.48,0.347,29.08,17.8,7.64,29.2,8.77,4.26,15.11,9.52,31.53,22.5,0.555,105.78,111.28,22.06
21800021,1,123.02,0.557,28.71,0.812,25.36,0.353,31.4,13.71,11.22,30.76,8.31,4.86,14.08,8.62,35.95,25.24,0.534,110.68,110.69,17.27,111.72,0.533,22.48,0.826,33.66,0.349,20.35,12.86,9.84,32.88,6.37,1.79,9.81,7.62,27.65,23.85,0.546,106.61,114.19,18.23
21800022,1,124.18,0.568,26.89,0.77,32.43,0.352,30.13,14.96,11.09,36.83,7.85,5.86,14.39,8.87,38.26,26.62,0.517,111.34,110.67,19.35,115.21,0.56,22.56,0.726,30.44,0.386,24.25,12.25,11.28,34.08,8.0,4.85,14.07,8.68,36.25,25.49,0.532,109.14,109.46,19.89
21800023,1,127.53,0.594,25.95,0.781,37.18,0.355,28.15,14.48,9.5,41.93,7.53,6.02,13.66,8.86,44.03,27.73,0.508,113.18,103.62,19.34,113.44,0.556,23.08,0.751,25.14,0.371,28.71,14.52,9.53,36.08,9.53,4.88,15.94,9.59,35.69,26.86,0.527,108.51,104.95,18.42
21800024,0,113.08,0.57,27.22,0.74,31.54,0.354,27.0,14.94,10.84,37.73,8.3,5.98,15.26,8.48,43.68,21.39,0.506,108.71,104.32,20.03,123.4,0.61,22.25,0.823,35.01,0.392,31.24,14.63,9.54,34.86,7.78,6.58,13.78,8.29,41.12,26.48,0.498,115.74,107.17,21.24
21800025,1,120.71,0.577,28.84,0.818,29.28,0.388,25.23,13.22,7.87,32.88,6.66,4.15,12.18,8.13,37.05,22.09,0.516,111.07,109.78,20.21,106.23,0.56,21.88,0.733,32.66,0.36,15.64,10.91,12.83,29.88,8.7,5.56,14.53,8.68,46.45,25.85,0.522,108.8,104.85,21.38
21800026,1,109.74,0.551,20.63,0.766,28.81,0.374,27.46,13.12,7.29,31.05,9.42,4.71,15.64,9.14,32.62,27.53,0.527,108.33,104.97,17.04,113.97,0.561,22.63,0.751,39.41,0.364,25.96,14.82,8.04,29.3,6.55,4.14,12.32,7.15,42.06,21.87,0.513,108.19,108.99,20.68
21800027,0,117.88,0.557,24.59,0.765,37.3,0.343,28.82,14.26,6.92,27.38,8.78,4.65,16.25,8.35,30.97,23.06,0.543,109.73,112.25,20.15,112.9,0.588,20.15,0.784,32.98,0.375,26.45,13.85,10.08,36.18,7.21,5.95,13.59,8.43,45.05,25.61,0.504,112.73,105.58,21.76
21800028,0,105.76,0.523,23.62,0.779,31.81,0.336,17.92,14.01,10.21,35.25,6.53,2.73,10.53,8.42,33.97,24.14,0.556,103.44,112.34,20.77,116.51,0.565,19.14,0.806,36.14,0.371,27.13,12.72,9.57,35.23,8.89,5.18,14.67,8.42,34.81,26.48,0.518,110.49,106.25,19.92
21800029,1,118.39,0.574,28.92,0.758,31.08,0.374,26.88,14.95,10.22,36.88,8.17,5.27,14.32,8.66,36.14,21.82,0.506,109.46,106.95,20.97,112.54,0.556,19.34,0.795,33.82,0.361,23.86,12.67,10.18,36.98,6.33,5.99,11.02,7.77,39.54,19.24,0.52,107.26,106.71,17.87
21800030,0,109.46,0.544,24.2,0.719,30.99,0.342,25.92,14.29,11.87,35.03,7.26,5.76,13.47,8.92,38.55,23.95,0.51,106.13,106.35,20.16,112.95,0.554,23.05,0.82,33.88,0.355,24.82,12.19,8.82,32.35,7.48,4.76,13.46,8.28,36.05,25.04,0.522,110.01,110.16,18.46
21800031,0,110.37,0.554,21.45,0.796,27.1,0.349,22.03,15.34,10.49,34.02,7.04,4.96,12.31,7.52,40.05,23.56,0.538,103.94,111.42,21.11,114.89,0.544,24.65,0.747,37.09,0.346,22.99,13.48,11.18,33.81,7.04,3.69,11.45,8.73,34.52,21.1,0.531,107.99,107.94,19.77
21800032,1,105.47,0.566,26.31,0.726,31.0,0.343,25.51,15.56,12.24,37.41,7.21,4.8,12.69,8.49,40.85,25.05,0.515,106.8,109.11,20.13,116.33,0.549,26.2,0.793,26.43,0.346,29.7,13.67,10.28,31.06,7.91,4.86,13.71,8.37,36.33,25.75,0.538,110.37,111.05,18.64
21800033,1,116.55,0.559,21.58,0.768,31.03,0.355,30.03,13.46,11.34,34.14,8.12,4.11,14.91,8.32,31.12,24.53,0.529,111.57,106.8,19.02,113.84,0.557,23.06,0.802,31.99,0.342,26.15,15.31,7.33,29.34,8.29,3.83,13.39,8.57,28.54,21.16,0.559,105.37,114.0,19.88
21800034,1,117.03,0.567,23.76,0.825,30.89,0.36,24.21,12.88,11.08,35.53,7.14,4.96,13.31,8.71,38.75,21.22,0.503,114.25,107.76,19.39,118.03,0.575,21.75,0.819,26.82,0.394,23.71,11.92,9.28,35.23,5.56,4.41,10.81,7.1,40.62,22.62,0.526,111.78,109.34,17.62
21800035,0,117.14,0.554,24.2,0.688,31.97,0.329,31.25,16.44,8.37,36.15,7.76,5.11,12.36,9.25,33.93,24.39,0.518,106.81,108.88,18.69,121.56,0.58,25.9,0.806,48.08,0.357,21.98,13.35,9.94,33.02,8.53,4.92,15.08,8.35,31.59,20.3,0.532,112.73,108.96,20.88
